Mods count: 154
 
                                                          jar name                                                           |    notes     |                  mod id                   |                    mod name                     |          mod version          |                                                                                                                                                                                                                                                                                      mixin configs                                                                                                                                                                                                                                                                                       |              modrinth hash               | curseforge hash
    /META-INF/jarjar/dev.eriksonn.aeronautics.aeronautics-neoforge-1.21.1-1.3.2.jar                                          |              | aeronautics                               | Create Aeronautics                              | 1.3.2                         | aeronautics.mixins.json, aeronautics.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                          |                
    /META-INF/jarjar/dev.ryanhcode.offroad.offroad-neoforge-1.21.1-1.3.2.jar                                                 |              | offroad                                   | Create Offroad                                  | 1.3.2                         | offroad.neoforge.mixins.json, offroad.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |                                          |                
    /META-INF/jarjar/dev.simulated_team.simulated.simulated-neoforge-1.21.1-1.3.2.jar                                        |              | simulated                                 | Create Simulated                                | 1.3.2                         | simulated-neoforge.mixins.json, simulated.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
create-aeronautics-lift-patch-1.1.0.jar                                                                                      |              | ldfix                                     | Create Aeronautics Lift Fix                     | 1.0.0                         | CreateAeroLiftfix.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 1baa3312d1b29414dd41a77ed5c665bbbd63cf44 | 1135155900     
create-central-kitchen-2.6.0.jar                                                                                             |              | create_central_kitchen                    | Create: Central Kitchen                         | 2.6.0                         | create_central_kitchen.brewinandchewin.mixins.json, create_central_kitchen.minersdelight.mixins.json, create_central_kitchen.mixins.json, create_central_kitchen.dungeonsdelight.mixins.json, create_central_kitchen.extradelight.mixins.json, create_central_kitchen.farmersdelight.mixins.json                                                                                                                                                                                                                                                                                         | f0dd0161de70f2177ba2e06c68ef0dbea08cdf2f | 2881860402     
create_aero_radar-0.1.1-1.21.1.jar                                                                                           |              | create_aero_radar                         | Create Aero Radar                               | 0.1.1-1.21.1                  | create_aero_radar.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 1e06a12c5e257eebb2fef971b02d3593d8d51b52 | 3971305907     
create_aeronautics_automated_logistics-0.6.2.jar                                                                             |              | create_aeronautics_automated_logistics    | Create Aeronautics: Automated Logistics         | 0.6.2                         | create_aeronautics_automated_logistics.simurail.mixins.json, create_aeronautics_automated_logistics.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 1954f5c4f72620942851241bd18217197ed59b46 | 3519347621     
create_aeronautics_toolgun-0.3.6.jar                                                                                         |              | create_aeronautics_toolgun                | Create Aeronautics: Toolgun                     | 0.3.6                         | create_aeronautics_toolgun.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 81103160768a52a5bc7fffb5fadc1c441883d5d5 | 3473222908     
create_aquatic_ambitions-1.21.1-2.0.4.jar                                                                                    |              | create_aquatic_ambitions                  | Create Aquatic Ambitions                        | 2.0.4                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | a02ce8ffc8395566c4fbe7907e721e82fd1b590b | 1676176144     
create_connected-1.3.3-mc1.21.1.jar                                                                                          |              | create_connected                          | Create: Connected                               | 1.3.3-mc1.21.1                | create_connected.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 96ae45fa44cd7028a31b9613cb672009e811b145 | 1415576880     
    /META-INF/jarjar/sable-companion-common-1.21.1-1.6.0.jar                                                                 |              | sablecompanion                            | Sable Companion                                 | 1.6.0                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                          |                
create_radar-0.4.9.4-1.21.1.jar                                                                                              |              | create_radar                              | Create: Radars                                  | 0.4.9.4-1.21.1                | create_radar.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 9726fced4bf86c9e2c0ea09b35bc39ed3ac007b6 | 2256721129     
    /META-INF/jarjar/sable-companion-common-1.21.1-1.5.0.jar                                                                 |              | sablecompanion                            | Sable Companion                                 | 1.5.0                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                          |                
create_ultimate_factory-2.2.4-neoforge-1.21.1.jar                                                                            |              | create_ultimate_factory                   | Create: Ultimate Factory                        | 2.2.4                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | ed0ff71df9bfe3b66b97c51a2834031084300a65 | 4039088034     
createaeronauticscurios-neoforge-1.21.1-2.2.jar                                                                              |              | aeronautics_curios_compat                 | Create Aeronautics Curios Compat                | 2.0                           | aeronautics_curios_compat.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | ded927b94810ff89791e1e57bcd20b468bd98a9f | 3016144942     
