[13Sept2026 16:59:36.417] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "createaeronauticscurios-neoforge-1.21.1-2.2.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.419] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "createbigcannons-5.11.7+mc.1.21.1.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.422] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "createdeco-2.1.3.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.424] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "CreateNumismatics-1.1.0+neoforge-mc1.21.1.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.426] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "createpropulsion-1.1.5.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.427] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "createtransmission-1.2.2+neoforge-create6-1.21.1.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.427] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "curios-neoforge-9.5.1+1.21.1.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.429] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "dashpanels-2.1+neoforge1.21.1.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.433] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "dashpanelsextra-1.4.1.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.434] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "deployer-0.1.3.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.436] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "dynamictrees-neoforge-1.21.1-1.7.2.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.437] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "DynamicTreesTFC-1.21.1-3.0.1.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.439] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "electroenergetics-1.21.1-1.1.1.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.440] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emi-1.1.24+1.21.1+neoforge.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.441] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emi_enchanting-0.1.2+1.21+neoforge.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
[13Sept2026 16:59:36.442] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emi_loot-0.7.9+1.21+neoforge.jar" [locator: {mods folder locator at /home/bigh/.var/app/org.prismlauncher.PrismLauncher/data/PrismLauncher/instances/TerraFirmaAero/minecraft/mods}, reader: mod manifest]
